mep_id,name,country,party
"204346","Dominik Tarczyński","Poland","European Conservatives and Reformists Group"
"256862","Dóra Dávid","Hungary","Group of the European People's Party (Christian Democrats)"
"197800","Eero Heinäluoma","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257095","Elena Donazzan","Italy","European Conservatives and Reformists Group"
"197699","Elena Kountoura","Greece",""
"257039","Elena Nevado del Campo","Spain","Group of the European People's Party (Christian Democrats)"
"257001","Elena Sancho","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197842","Elena Yoncheva","Bulgaria",""
"256943","Eleonora Meleti","Greece","Group of the European People's Party (Christian Democrats)"
"1294","Elio Di Rupo","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256830","Elisabeth Grossmann","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197618","Elisabetta Gualmini","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"191693","Elsi Katainen","Finland","Renew Europe Group"
"124850","Emil Radev","Bulgaria","Group of the European People's Party (Christian Democrats)"
"256913","Emma Fourreau","France",""
"256902","Emma Rafowicz","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"214839","Emma Wiesner","Sweden","Renew Europe Group"
"96830","Enikő Győri","Hungary","Patriots for Europe Group"
"257007","Erik Kaliňák","Slovakia",""
"197462","Erik Marquardt","Germany","Group of the Greens/European Free Alliance"
"213330","Ernő Schaller-Baross","Hungary","Patriots for Europe Group"
"125027","Esteban González Pons","Spain","Group of the European People's Party (Christian Democrats)"
"256880","Estelle Ceulemans","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257012","Estrella Galán","Spain",""
"256865","Eszter Lakos","Hungary","Group of the European People's Party (Christian Democrats)"
"197672","Eugen Tomac","Romania","Renew Europe Group"
"98341","Eva Maydell","Bulgaria","Group of the European People's Party (Christian Democrats)"
"96998","Evelyn Regner","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197392","Evin Incir","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197525","Ewa Kopacz","Poland","Group of the European People's Party (Christian Democrats)"
"257069","Ewa Zajączkowska-Hernik","Poland","Europe of Sovereign Nations Group"
"22858","Fabienne Keller","France","Renew Europe Group"
"124858","Fabio De Masi","Germany",""
"256872","Fabrice Leggeri","France","Patriots for Europe Group"
"256900","Fernand Kartheiser","Luxembourg",""
"257027","Fernando Navarrete Rojas","Spain","Group of the European People's Party (Christian Democrats)"
"256989","Fidias Panayiotou","Cyprus",""
"256850","Filip Turek","Czech Republic","Patriots for Europe Group"
"124795","Flavio Tosi","Italy","Group of the European People's Party (Christian Democrats)"
"189065","France Jamet","France","Patriots for Europe Group"
"257163","Francesco Torselli","Italy","European Conservatives and Reformists Group"
"257099","Francesco Ventola","Italy","European Conservatives and Reformists Group"
"28307","Francisco Assis","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"28400","Francisco José Millán Mon","Spain","Group of the European People's Party (Christian Democrats)"
"256908","François Kalfon","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197534","François-Xavier Bellamy","France","Group of the European People's Party (Christian Democrats)"
"256947","Fredis Beleris","Greece","Group of the European People's Party (Christian Democrats)"
"256969","Friedrich Pürner","Germany",""
"124828","Fulvio Martusciello","Italy","Group of the European People's Party (Christian Democrats)"
"257098","Gabriela Firea","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197435","Gabriele Bischoff","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"256866","Gabriella Gerzsenyi","Hungary","Group of the European People's Party (Christian Democrats)"
"256956","Galato Alexandraki","Greece","European Conservatives and Reformists Group"
"256986","Geadis Geadi","Cyprus","European Conservatives and Reformists Group"
"38511","Georg Mayer","Austria","Patriots for Europe Group"
"257116","Georgiana Teodorescu","Romania","European Conservatives and Reformists Group"
"256842","Gerald Hauser","Austria","Patriots for Europe Group"
"96940","Gerben-Jan Gerbrandy","Kingdom of the Netherlands","Renew Europe Group"
"124973","Gerolf Annemans","Belgium","Patriots for Europe Group"
"257100","Gheorghe Cârciu","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197649","Gheorghe Falcă","Romania","Group of the European People's Party (Christian Democrats)"
"257115","Gheorghe Piperea","Romania","European Conservatives and Reformists Group"
"197577","Gilles Boyer","France","Renew Europe Group"
"126699","Gilles Pennelle","France","Patriots for Europe Group"
"257102","Giorgio Gori","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197416","Giorgos Georgiou","Cyprus",""
"257094","Giovanni Crosetto","Italy","European Conservatives and Reformists Group"
"257138","Giuseppe Antoci","Italy",""
"257124","Giuseppe Lupo","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
