name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Gheorghe Falcă,Romania,European People's Party (EPP),National Liberal Party,197649,90.6,1060,1170,,False,False
Gheorghe Piperea,Romania,European Conservatives and Reformists (ECR),Alliance for the Union of Romanians,257115,90.9,1063,1170,,False,False
Gilles Boyer,France,Renew Europe (RE),The Republicans,197577,99.4,1163,1170,,False,False
Gilles Pennelle,France,The Patriots for Europe (PfE),Party of New Forces,126699,96.5,1129,1170,,False,False
Giorgio Gori,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257102,93.2,1091,1170,,False,False
Giorgos Georgiou,Cyprus,Progressive Party of Working People,Progressive Party of Working People,197416,73.8,864,1170,,False,False
Giovanni Crosetto,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257094,93,1088,1170,,False,False
Giuseppe Antoci,Italy,,,257138,92.1,1077,1170,,False,False
Giuseppe Lupo,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257124,99.2,1161,1170,,False,False
Giuseppe Milazzo,Italy,European Conservatives and Reformists (ECR),The People of Freedom,197824,34,398,1170,,False,False
Gordan Bosanac,Croatia,Greens/European Free Alliance (Greens/EFA),Group of the Greens/European Free Alliance,256995,94.6,1107,1170,,False,False
Grzegorz Braun,Poland,European Conservatives and Reformists (ECR),Confederation of the Polish Crown,257067,66.9,783,1170,,False,False
Grégory Allione,France,Renew Europe (RE),Renew Europe Group,256869,85.7,1003,1170,,False,False
Guillaume Peltier,France,European Conservatives and Reformists (ECR),Identity–Freedoms,30123,86,1006,1170,,False,False
György Hölvényi,Hungary,The Patriots for Europe (PfE),Christian Democratic People's Party,124715,70.8,828,1170,,False,False
Günther Sidl,Austria,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Austria,197677,82.6,967,1170,,False,False
Hana Jalloul Muro,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,256992,39.1,457,1170,,False,False
Hanna Gedin,Sweden,The Left in the European Parliament (GUE/NGL),Left Party,257092,99.9,1169,1170,,False,False
Hanna Gronkiewicz-Waltz,Poland,European People's Party (EPP),Civic Platform,262021,76.1,890,1170,,False,False
Hannah Neumann,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197464,98.2,1149,1170,,False,False
Hannes Heide,Austria,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Austria,197682,80.9,947,1170,,False,False
Hans Neuhoff,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256944,92.5,1082,1170,,False,False
Harald Vilimsky,Austria,The Patriots for Europe (PfE),Austrian Freedom Party,125001,89.8,1051,1170,,False,False
Helmut Brandstätter,Austria,Renew Europe (RE),NEOS – The New Austria,256841,71.4,835,1170,,False,False
