vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
177157,2025-06-18 12:30:34,2023 and 2024 reports on Moldova,REJECTED,,68,506,73,https://www.europarl.europa.eu/plenary/en/votes/177157.xml
177158,2025-06-18 12:30:47,2023 and 2024 reports on Moldova,REJECTED,,124,499,25,https://www.europarl.europa.eu/plenary/en/votes/177158.xml
177159,2025-06-18 12:31:01,2023 and 2024 reports on Moldova,ADOPTED,,457,174,18,https://www.europarl.europa.eu/plenary/en/votes/177159.xml
177162,2025-06-18 12:31:21,2023 and 2024 reports on Moldova,ADOPTED,,491,122,41,https://www.europarl.europa.eu/plenary/en/votes/177162.xml
177163,2025-06-18 12:31:35,2023 and 2024 reports on Moldova,ADOPTED,,586,39,24,https://www.europarl.europa.eu/plenary/en/votes/177163.xml
177164,2025-06-18 12:31:47,2023 and 2024 reports on Moldova,ADOPTED,,603,3,39,https://www.europarl.europa.eu/plenary/en/votes/177164.xml
177167,2025-06-18 12:32:08,2023 and 2024 reports on Moldova,REJECTED,,114,522,14,https://www.europarl.europa.eu/plenary/en/votes/177167.xml
177169,2025-06-18 12:32:25,2023 and 2024 reports on Moldova,ADOPTED,,456,118,51,https://www.europarl.europa.eu/plenary/en/votes/177169.xml
177170,2025-06-18 12:17:37,The Commission’s 2024 Rule of Law report,REJECTED,,174,446,26,https://www.europarl.europa.eu/plenary/en/votes/177170.xml
177171,2025-06-18 12:17:49,The Commission’s 2024 Rule of Law report,REJECTED,,199,438,7,https://www.europarl.europa.eu/plenary/en/votes/177171.xml
177172,2025-06-18 12:18:00,The Commission’s 2024 Rule of Law report,REJECTED,,209,434,7,https://www.europarl.europa.eu/plenary/en/votes/177172.xml
177173,2025-06-18 12:18:13,The Commission’s 2024 Rule of Law report,ADOPTED,,353,169,131,https://www.europarl.europa.eu/plenary/en/votes/177173.xml
177175,2025-06-18 12:18:29,The Commission’s 2024 Rule of Law report,REJECTED,,192,450,12,https://www.europarl.europa.eu/plenary/en/votes/177175.xml
177178,2025-06-18 12:18:45,The Commission’s 2024 Rule of Law report,REJECTED,,302,336,14,https://www.europarl.europa.eu/plenary/en/votes/177178.xml
177181,2025-06-18 12:19:07,The Commission’s 2024 Rule of Law report,ADOPTED,,431,213,14,https://www.europarl.europa.eu/plenary/en/votes/177181.xml
177184,2025-06-18 12:19:27,The Commission’s 2024 Rule of Law report,ADOPTED,,435,207,14,https://www.europarl.europa.eu/plenary/en/votes/177184.xml
177185,2025-06-18 12:19:38,The Commission’s 2024 Rule of Law report,ADOPTED,,444,195,8,https://www.europarl.europa.eu/plenary/en/votes/177185.xml
177186,2025-06-18 12:19:49,The Commission’s 2024 Rule of Law report,ADOPTED,,430,201,17,https://www.europarl.europa.eu/plenary/en/votes/177186.xml
177187,2025-06-18 12:20:01,The Commission’s 2024 Rule of Law report,REJECTED,,200,431,14,https://www.europarl.europa.eu/plenary/en/votes/177187.xml
