name,country,party,national_party,profile_url,mep_id,photo_url
Raffaele Stancanelli,Italy,Patriots for Europe Group,Brothers of Italy,https://www.europarl.europa.eu/meps/en/197825,197825.0,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaele%20Stancanelli%20datisenato%202018.jpg
Raffaele Topo,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257148,257148.0,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaele%20Topo%20daticamera%202018.jpg
Ralf Seekatz,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/197425,197425.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ralf%20Seekatz%2C%20MdEP.jpg
Raphaël Glucksmann,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique,https://www.europarl.europa.eu/meps/en/197694,197694.0,http://commons.wikimedia.org/wiki/Special:FilePath/2024-03-03%20-%20Congr%C3%A8s%20du%20PSE-%20105%20-%20Raphael%20Glucksmann.jpg
Raquel García Hermida-van der Walle,Kingdom of the Netherlands,Renew Europe Group,Democrats 66,https://www.europarl.europa.eu/meps/en/256970,256970.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719323377964%2020240625%20GARCIA%20HERMIDA%20Raquel%20NL%20008.jpg
Rareș Bogdan,Romania,,National Liberal Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rare%C8%99%20Bogdan%20-%2001.03.2024%20Vizita%20Pre%C8%99edintelui%20Senatului%20Rom%C3%A2niei%2C%20Nicolae-Ionel%20Ciuc%C4%83%2C%20%C3%AEn%20Republica%20Moldova%20-%2053561002106.jpg
Rasa Juknevičienė,Lithuania,Group of the European People's Party (Christian Democrats),Homeland Union – Lithuanian Christian Democrats,https://www.europarl.europa.eu/meps/en/197840,197840.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rasa%20Juknevi%C4%8Dien%C4%97%20in%20Ukraine%20-%202018%20%28MUS0034%29%20%28cropped%29.jpg
Rasmus Andresen,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/197448,197448.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Andresen.png
Rasmus Nordqvist,Kingdom of Denmark,Group of the Greens/European Free Alliance,Green Left,https://www.europarl.europa.eu/meps/en/257044,257044.0,http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Nordqvist%20%2852386774537%29.jpg
Raúl de la Hoz Quintano,Spain,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/257030,257030.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718718545841%2020240617%20DE%20LA%20HOZ%20QUINTANO%20Raul%20ES%20003.jpg
Regina Doherty,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael,https://www.europarl.europa.eu/meps/en/257237,257237.0,http://commons.wikimedia.org/wiki/Special:FilePath/Regina%20Doherty%2C%202017.jpg
Reinhold Lopatka,Austria,Group of the European People's Party (Christian Democrats),Austrian People's Party,https://www.europarl.europa.eu/meps/en/220896,220896.0,http://commons.wikimedia.org/wiki/Special:FilePath/Reinhold%20Lopatka%20Wien2008.jpg
Reinier van Lanschot,Kingdom of the Netherlands,Group of the Greens/European Free Alliance,Volt Netherlands,https://www.europarl.europa.eu/meps/en/256978,256978.0,http://commons.wikimedia.org/wiki/Special:FilePath/Reinier%20van%20Lanschot%202%20%28cropped%29%202.jpg
Reinis Pozņaks,Latvia,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/256907,256907.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797658002%2020240618%20POZNAKS%20Reinis%20LV%20005.jpg
René Aust,Germany,Europe of Sovereign Nations Group,Alternative for Germany,https://www.europarl.europa.eu/meps/en/256929,256929.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Aust%20%282019%29.jpg
René Repasi,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/229839,229839.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721813499326%2020240723%20EP-171139A%20AR2%20182.jpg
Rihards Kols,Latvia,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/220871,220871.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719411640687%2020240626%20RIHARDS%20Kols%20LV%20016.jpg
